loan_id, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, loan_status
1, Graduate, No,9600000,29900000,12,778,2400000, Approved
2, Not Graduate, Yes,4100000,12200000,8,417,2700000, Rejected
3, Graduate, No,9100000,29700000,20,506,7100000, Rejected
4, Graduate, No,8200000,30700000,8,467,18200000, Rejected
5, Not Graduate, Yes,9800000,24200000,20,382,12400000, Rejected
6, Graduate, Yes,4800000,13500000,10,319,6800000, Rejected
7, Graduate, No,8700000,33000000,4,678,22500000, Approved
8, Graduate, Yes,5700000,15000000,20,382,13200000, Rejected
9, Graduate, Yes,800000,2200000,20,782,1300000, Approved
10, Not Graduate, No,1100000,4300000,10,388,3200000, Rejected
11, Graduate, Yes,2900000,11200000,2,547,8100000, Approved
12, Not Graduate, Yes,6700000,22700000,18,538,15300000, Rejected
13, Not Graduate, Yes,5000000,11600000,16,311,6400000, Rejected
14, Graduate, Yes,9100000,31500000,14,679,10800000, Approved
15, Not Graduate, No,1900000,7400000,6,469,1900000, Rejected
16, Not Graduate, No,4700000,10700000,10,794,5700000, Approved
17, Graduate, Yes,500000,1600000,4,663,1300000, Approved
18, Not Graduate, Yes,2900000,9400000,14,780,2900000, Approved
19, Graduate, No,2700000,10300000,10,736,1000000, Approved
20, Graduate, No,6300000,14600000,12,652,10300000, Approved
21, Graduate, No,5000000,19400000,12,315,9500000, Rejected
22, Graduate, No,5800000,14000000,16,530,3800000, Rejected
23, Graduate, Yes,6500000,25700000,18,311,13100000, Rejected
24, Not Graduate, Yes,500000,1400000,2,551,900000, Approved
25, Not Graduate, No,4900000,9800000,16,324,3800000, Rejected
26, Not Graduate, No,3100000,9500000,20,514,7900000, Rejected
27, Graduate, No,8200000,28100000,12,696,11500000, Approved
28, Not Graduate, Yes,2400000,5600000,4,662,4500000, Approved
29, Not Graduate, Yes,7000000,24000000,6,336,2300000, Rejected
30, Not Graduate, Yes,9000000,31500000,10,850,21800000, Approved
31, Not Graduate, No,9800000,25300000,12,313,20200000, Rejected
32, Graduate, No,5700000,12000000,6,363,3600000, Rejected
33, Not Graduate, Yes,800000,1600000,10,436,700000, Rejected
34, Not Graduate, Yes,8400000,22000000,2,830,3800000, Approved
35, Graduate, No,4900000,11900000,8,612,9700000, Approved
36, Graduate, Yes,1700000,3400000,8,691,2700000, Approved
37, Not Graduate, No,1600000,6200000,18,636,3400000, Approved
38, Graduate, Yes,8000000,27200000,6,348,6400000, Rejected
39, Graduate, No,3600000,7700000,16,830,7000000, Approved
40, Not Graduate, Yes,1500000,5100000,6,352,100000, Rejected
41, Graduate, No,7800000,18100000,2,712,8600000, Approved
42, Not Graduate, No,9100000,24900000,16,822,22300000, Approved
43, Graduate, No,1400000,3400000,6,540,200000, Rejected
44, Graduate, Yes,800000,2300000,12,342,2200000, Rejected
45, Graduate, No,6500000,13400000,18,787,18200000, Approved
46, Graduate, No,8000000,27800000,16,331,13000000, Rejected
47, Not Graduate, Yes,4200000,14600000,6,679,2400000, Approved
48, Graduate, Yes,4900000,19100000,14,677,5400000, Approved
49, Not Graduate, No,5500000,20500000,12,634,800000, Approved
50, Not Graduate, Yes,9500000,19100000,16,662,100000, Approved
51, Graduate, No,7300000,25400000,16,502,500000, Rejected
52, Graduate, No,8700000,24700000,10,435,6800000, Rejected
53, Not Graduate, No,3800000,7600000,4,689,8700000, Approved
54, Not Graduate, Yes,8400000,23000000,12,657,15400000, Approved
55, Graduate, Yes,5100000,19700000,20,590,7400000, Approved
56, Not Graduate, No,6700000,24500000,12,818,1200000, Approved
57, Not Graduate, No,4300000,10600000,18,431,2100000, Rejected
58, Graduate, Yes,9300000,30500000,18,841,19300000, Approved
59, Graduate, No,7400000,18400000,20,421,18500000, Rejected
60, Not Graduate, Yes,5500000,18200000,16,797,-100000, Approved
61, Not Graduate, No,8500000,18900000,18,478,23800000, Rejected
62, Not Graduate, Yes,9600000,30500000,18,669,4700000, Approved
63, Not Graduate, Yes,8800000,28900000,6,365,24400000, Rejected
64, Not Graduate, Yes,3300000,7500000,20,586,1600000, Approved
65, Graduate, Yes,3900000,12300000,18,784,7600000, Approved
66, Graduate, No,4100000,10300000,12,364,9500000, Rejected
67, Not Graduate, No,8300000,29100000,10,715,6100000, Approved
68, Not Graduate, Yes,2700000,10100000,20,693,200000, Rejected
69, Graduate, No,5600000,12400000,4,777,5500000, Approved
70, Graduate, No,1900000,5000000,12,312,4000000, Rejected
71, Not Graduate, Yes,500000,1500000,20,340,100000, Rejected
72, Graduate, Yes,5300000,18600000,4,386,2700000, Approved
73, Not Graduate, No,7000000,18300000,4,418,18400000, Rejected
74, Not Graduate, Yes,5800000,16700000,16,735,3900000, Approved
75, Not Graduate, No,2600000,8400000,6,494,6500000, Rejected
76, Not Graduate, No,1900000,6500000,18,671,600000, Approved
77, Graduate, No,5700000,14800000,16,697,14300000, Approved
78, Graduate, No,9000000,33500000,8,801,11600000, Approved
79, Not Graduate, No,8500000,29400000,12,576,17600000, Approved
80, Not Graduate, No,700000,1400000,14,639,1900000, Approved
81, Graduate, No,3500000,8900000,4,470,1300000, Rejected
82, Not Graduate, No,8800000,31200000,4,826,2900000, Approved
83, Not Graduate, Yes,9900000,21200000,16,363,25500000, Rejected
84, Graduate, No,3600000,8600000,20,613,9400000, Approved
85, Not Graduate, Yes,3000000,8200000,16,713,5300000, Approved
86, Graduate, No,6800000,21200000,16,439,17100000, Rejected
87, Not Graduate, Yes,1100000,3800000,18,387,1300000, Rejected
88, Not Graduate, Yes,8700000,28300000,8,402,20400000, Rejected
89, Graduate, Yes,2000000,8000000,6,837,5100000, Approved
90, Not Graduate, No,9800000,37600000,10,641,24100000, Approved
91, Graduate, No,5700000,21100000,18,489,500000, Rejected
92, Graduate, No,8800000,20700000,18,540,19200000, Rejected
93, Graduate, No,3800000,8900000,4,844,9100000, Approved
94, Graduate, No,1700000,6400000,10,452,900000, Rejected
95, Graduate, No,1000000,2000000,10,366,1200000, Rejected
96, Graduate, No,300000,1100000,2,300,100000, Approved
97, Graduate, Yes,6600000,15000000,18,470,1200000, Rejected
98, Not Graduate, No,8700000,25000000,20,861,14700000, Approved
99, Graduate, No,9400000,29400000,12,562,25900000, Approved
100, Graduate, No,4400000,10800000,14,463,2400000, Rejected
101, Not Graduate, No,400000,900000,12,478,700000, Rejected
